BOARD,FAMILY,NVDEC Generation,# OF CHIPS,# OF NVDEC /CHIP,Total # of NVDEC,MPEG-1,MPEG-2,VC-1,VP8,VP9 4:2:0 8 Bit,VP9 4:2:0 10 Bit,VP9 4:2:0 12 Bit,H.264 (AVCHD) 4:2:0 8 Bit,H.264 (AVCHD) 4:2:0 10 Bit,H.264 (AVCHD) 4:2:2 8 Bit,H.264 (AVCHD) 4:2:2 10 Bit,H.265 (HEVC) 4:2:0 8 Bit,H.265 (HEVC) 4:2:0 10 Bit,H.265 (HEVC) 4:2:0 12 Bit,H.265 (HEVC) 4:2:2 8 Bit,H.265 (HEVC) 4:2:2 10 Bit,H.265 (HEVC) 4:4:4 8 Bit,H.265 (HEVC) 4:4:4 10 Bit,H.265 (HEVC) 4:4:4 12 Bit,AV1 8 Bit,AV1 10 Bit
NVIDIA A10,Ampere,5th Gen,1,2,2,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES
NVIDIA A100,Ampere,4th Gen,1,5,5,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,YES,YES,YES,NO,NO
NVIDIA A16,Ampere,5th Gen,4,2,8,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES
NVIDIA A2,Ampere,5th Gen,1,2,2,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES
NVIDIA A30,Ampere,4th Gen,1,4,4,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,YES,YES,YES,NO,NO
NVIDIA A40,Ampere,5th Gen,1,2,2,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES
NVIDIA H100 NVL,Hopper,4th Gen,1,7,7,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,YES,YES,YES,NO,NO
NVIDIA H100 PCIe,Hopper,4th Gen,1,7,7,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,YES,YES,YES,NO,NO
NVIDIA H100 SXM,Hopper,4th Gen,1,7,7,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,YES,YES,YES,NO,NO
NVIDIA L4,Ada Lovelace,5th Gen,1,4,4,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES
NVIDIA L40,Ada Lovelace,5th Gen,1,3,3,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES
NVIDIA L40S,Ada Lovelace,5th Gen,1,3,3,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES
NVIDIA RTX PRO 6000 Blackwell Server Edition,Blackwell,6th Gen,1,4,4,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
Tesla M10,Maxwell (1st Gen),1st Gen,4,1,4,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Tesla M4,Maxwell (GM206),2nd Gen,1,1,1,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO
Tesla M40,Maxwell (2nd Gen),1st Gen,1,1,1,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Tesla M6,Maxwell (2nd Gen),1st Gen,1,1,1,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Tesla M60,Maxwell (2nd Gen),1st Gen,2,1,2,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Tesla P100,Pascal,3rd Gen,1,1,1,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
Tesla P4 / P6,Pascal,3rd Gen,1,1,1,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
Tesla P40,Pascal,3rd Gen,1,1,1,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
Tesla T4,Turing,4th Gen,1,2,2,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,YES,YES,YES,NO,NO
Tesla V100,Volta,3rd Gen,1,1,1,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
