BOARD,FAMILY,NVENC Generation,Desktop/ Mobile,# OF CHIPS,Total # of NVENC,Max # of concurrent sessions,H.264 (AVCHD) YUV 4:2:0,H.264 (AVCHD) YUV 4:2:2,H.264 (AVCHD) YUV 4:4:4,H.264 (AVCHD) Lossless,H.265 (HEVC) 4K YUV 4:2:0,H.265 (HEVC) YUV 4:2:2,H.265 (HEVC) 4K YUV 4:4:4,H.265 (HEVC) 4K Lossless,H.265 (HEVC) 8K,HEVC 10-bit support,HEVC B Frame support,AV1 YUV 4:2:0
GeForce GTX 745 > 750 Ti,Maxwell (1st Gen),4th Gen,D,1,1,8,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO
GeForce 845M / 940M / 940MX / 945M,Maxwell (1st Gen),4th Gen,M,1,1,8,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO
GeForce GTX 850A > 960A,Maxwell (1st Gen),4th Gen,M,1,1,8,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO
GeForce GTX 850M > 960M,Maxwell (1st Gen),4th Gen,M,1,1,8,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO
GeForce 830A > 945A,Maxwell (1st Gen),N/A,M,1,0,N/A,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
GeForce 830M > 945M,Maxwell (1st Gen),N/A,M,1,0,N/A,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
GeForce GTX 920MX - 940MX,Maxwell (1st Gen),N/A,M,1,0,N/A,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
GeForce MX110 / MX130,Maxwell (1st Gen),N/A,M,1,0,N/A,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
GeForce GTX 750 / GTX 950 / 960,Maxwell (2nd Gen),5th Gen,D,1,1,8,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
GeForce GTX 965M,Maxwell (2nd Gen),5th Gen,M,1,1,8,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
GeForce GTX 965M > 980M / 980MX,Maxwell (2nd Gen),5th Gen,M,1,2,8,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
GeForce GTX 960 Ti / 970 / 980,Maxwell (2nd Gen),5th Gen,D/M,1,2,8,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
GeForce GTX 980 Ti,Maxwell (2nd Gen),5th Gen,D,1,2,8,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
GeForce GTX Titan X,Maxwell (2nd Gen),5th Gen,D,1,2,8,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
GeForce MX150 > MX330,Pascal,N/A,M,1,0,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
GeForce MX350,Pascal,N/A,M,1,0,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
GeForce GT 1030,Pascal,N/A,D,1,0,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
GeForce GTX 1050 / 1050 Ti,Pascal,6th Gen,D/M,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO
GeForce GTX 1050 / 1050 Ti,Pascal,6th Gen,D/M,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO
GeForce GTX 1060,Pascal,6th Gen,D/M,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO
GeForce GTX 1060,Pascal,6th Gen,D/M,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO
GeForce GTX 1070M / 1080M,Pascal,6th Gen,M,1,2,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO
GeForce GTX 1070 / 1070Ti,Pascal,6th Gen,D/M,1,2,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO
GeForce GTX 1080,Pascal,6th Gen,D/M,1,2,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO
GeForce GTX 1080 Ti,Pascal,6th Gen,D,1,2,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO
GeForce GTX Titan X / Titan Xp,Pascal,6th Gen,D,1,2,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO
Titan V,Volta,6th Gen,D,1,3,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO
GeForce MX450,Turing,N/A,M,1,0,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
GeForce GTX 1630,Turing,6th Gen,D,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO
GeForce GTX 1650 Max-Q,Turing,6th Gen,M,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO
GeForce GTX 1650 GDDR5,Turing,6th Gen,D/M,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO
GeForce GTX 1650 GDDR6,Turing,6th Gen,D/M,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO
GeForce MX550,Turing,6th Gen,M,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO
GeForce GTX 1650 GDDR6,Turing,7th Gen,D,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
GeForce GTX 1650 SUPER,Turing,7th Gen,D,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
GeForce GTX 1660 Ti Max-Q,Turing,7th Gen,M,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
GeForce GTX 1660 Ti / 1660,Turing,7th Gen,D/M,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
GeForce GTX 1660 SUPER,Turing,7th Gen,D/M,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
GeForce RTX 2060 / 2070,Turing,7th Gen,D/M,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
GeForce RTX 2060 SUPER,Turing,7th Gen,D,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
GeForce RTX 2060 (TU104),Turing,7th Gen,D,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
GeForce RTX 2070 Max-Q,Turing,7th Gen,M,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
GeForce RTX 2070 SUPER,Turing,7th Gen,D/M,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
GeForce RTX 2080,Turing,7th Gen,D/M,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
GeForce RTX 2080 Max-Q,Turing,7th Gen,M,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
GeForce RTX 2080 SUPER,Turing,7th Gen,D/M,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
GeForce RTX 2080 Ti,Turing,7th Gen,D,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
Titan RTX,Turing,7th Gen,D,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
GeForce RTX 2050,Ampere,7th Gen,M,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
GeForce RTX 3050,Ampere,7th Gen,D,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
GeForce RTX 3050 Laptop,Ampere,7th Gen,M,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
GeForce RTX 3080 Ti Laptop,Ampere,7th Gen,M,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
GeForce RTX 3080 Laptop,Ampere,7th Gen,M,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
GeForce RTX 3070 Ti Laptop,Ampere,7th Gen,M,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
GeForce RTX 3070 Laptop,Ampere,7th Gen,M,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
GeForce RTX 3060 Ti Laptop,Ampere,7th Gen,M,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
GeForce RTX 3060 Laptop,Ampere,7th Gen,M,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
GeForce RTX 3060,Ampere,7th Gen,D,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
GeForce RTX 3070,Ampere,7th Gen,D,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
GeForce RTX 3080,Ampere,7th Gen,D,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
GeForce RTX 3090,Ampere,7th Gen,D,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
GeForce MX570,Ampere,7th Gen,M,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
GeForce MX570 A,Ampere,N/A,M,1,0,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
GeForce RTX 3050 Ti Laptop,Ampere,7th Gen,M,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
GeForce RTX 3060 Ti,Ampere,7th Gen,M,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
GeForce RTX 3070 Ti,Ampere,7th Gen,D,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
GeForce RTX 3080 Ti,Ampere,7th Gen,D,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
GeForce RTX 3090 Ti,Ampere,7th Gen,D,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
GeForce RTX 4050 Laptop,Ada Lovelace,8th Gen,M,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES
GeForce RTX 4060 Laptop,Ada Lovelace,8th Gen,M,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES
GeForce RTX 4060,Ada Lovelace,8th Gen,D,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES
GeForce RTX 4060TI,Ada Lovelace,8th Gen,D,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES
GeForce RTX 4070 Laptop,Ada Lovelace,8th Gen,M,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES
GeForce RTX 4070,Ada Lovelace,8th Gen,D,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES
GeForce RTX 4070 Super,Ada Lovelace,8th Gen,D,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES
GeForce RTX 4070 Ti,Ada Lovelace,8th Gen,D,1,2,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES
