BOARD,FAMILY,NVENC Generation,Desktop/ Mobile,# OF CHIPS,Total # of NVENC,Max # of concurrent sessions,H.264 (AVCHD) YUV 4:2:0,H.264 (AVCHD) YUV 4:2:2,H.264 (AVCHD) YUV 4:4:4,H.264 (AVCHD) Lossless,H.265 (HEVC) 4K YUV 4:2:0,H.265 (HEVC) YUV 4:2:2,H.265 (HEVC) 4K YUV 4:4:4,H.265 (HEVC) 4K Lossless,H.265 (HEVC) 8K,HEVC 10-bit support,HEVC B Frame support,AV1 YUV 4:2:0
Quadro K620,Maxwell (1st Gen),4th Gen,D,1,1,8,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO
Quadro K1200,Maxwell (1st Gen),4th Gen,D,1,1,8,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO
Quadro K2200,Maxwell (1st Gen),4th Gen,D,1,1,Unrestricted,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO
Quadro M600M,Maxwell (1st Gen),4th Gen,M,1,1,Unrestricted,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO
Quadro M620M,Maxwell (1st Gen),4th Gen,M,1,1,Unrestricted,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO
Quadro M1000M,Maxwell (1st Gen),4th Gen,M,1,1,Unrestricted,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO
Quadro M1200M,Maxwell (1st Gen),4th Gen,M,1,1,Unrestricted,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO
Quadro M2000M,Maxwell (1st Gen),4th Gen,M,1,1,Unrestricted,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO
Quadro M2000,Maxwell (GM206),5th Gen,D,1,1,Unrestricted,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
Quadro M2200M,Maxwell (GM206),5th Gen,M,1,1,Unrestricted,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
Quadro M3000,Maxwell (2nd Gen),5th Gen,M,1,2,Unrestricted,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
Quadro M4000,Maxwell (2nd Gen),5th Gen,M,1,2,Unrestricted,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
Quadro M5500,Maxwell (2nd Gen),5th Gen,M,1,2,Unrestricted,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
Quadro M4000,Maxwell (2nd Gen),5th Gen,D,1,2,Unrestricted,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
Quadro M5000,Maxwell (2nd Gen),5th Gen,D,1,2,Unrestricted,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
Quadro M6000,Maxwell (2nd Gen),5th Gen,D,1,2,Unrestricted,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
Quadro P400,Pascal,6th Gen,D,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO
Quadro P600,Pascal,6th Gen,D/M,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO
Quadro P620,Pascal,6th Gen,D/M,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO
Quadro P1000,Pascal,6th Gen,D/M,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO
Quadro P2000,Pascal,6th Gen,D/M,1,1,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO
Quadro P2200,Pascal,6th Gen,D/M,1,1,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO
Quadro P3200,Pascal,6th Gen,M,1,2,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO
Quadro P4200,Pascal,6th Gen,M,1,2,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO
Quadro P5200,Pascal,6th Gen,M,1,2,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO
Quadro P4000,Pascal,6th Gen,D,1,1,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO
Quadro P5000,Pascal,6th Gen,D,1,2,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO
Quadro P6000,Pascal,6th Gen,D,1,2,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO
Quadro GP100,Pascal,6th Gen,D,1,3,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,NO,YES,NO,NO
Quadro GV100,Volta,6th Gen,D,1,3,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO
NVIDIA T400,Turing,6th Gen,D,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO
NVIDIA T400 4GB,Turing,6th Gen,D,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO
NVIDIA T550 Laptop GPU,Turing,6th Gen,M,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO
NVIDIA T600,Turing,6th Gen,D,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO
NVIDIA T1000,Turing,6th Gen,D/M,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO
NVIDIA T1000 8GB,Turing,6th Gen,D/M,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO
NVIDIA T600 Laptop GPU,Turing,6th Gen,M,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO
NVIDIA T1200 Laptop GPU,Turing,6th Gen,M,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO
Quadro T2000 Max-Q,Turing,6th Gen,M,1,1,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO
Quadro T2000,Turing,6th Gen,M,1,1,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO
Quadro RTX 3000 Max-Q,Turing,7th Gen,M,1,1,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
Quadro RTX 3000,Turing,7th Gen,M,1,1,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
Quadro RTX 4000 Max-Q,Turing,7th Gen,M,1,1,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
Quadro RTX 4000,Turing,7th Gen,D/M,1,1,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
Quadro RTX 5000,Turing,7th Gen,D/M,1,1,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
Quadro RTX 6000,Turing,7th Gen,D/M,1,1,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
Quadro RTX 8000,Turing,7th Gen,D/M,1,1,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
NVIDIA RTX A500 Laptop GPU,Ampere,7th Gen,M,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
NVIDIA RTX A1000 Laptop GPU,Ampere,7th Gen,M,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
NVIDIA RTX A2000 and A2000 8GB Laptop GPUs,Ampere,7th Gen,M,1,1,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
NVIDIA RTX A3000 and A3000 12GB Laptop GPUs,Ampere,7th Gen,M,1,1,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
NVIDIA RTX A400,Ampere,7th Gen,D,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
NVIDIA RTX A1000,Ampere,7th Gen,D,1,1,8,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
NVIDIA RTX A4000,Ampere,7th Gen,D,1,1,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
NVIDIA RTX A4500,Ampere,7th Gen,D,1,1,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
