BOARD,FAMILY,NVENC Generation,# OF CHIPS,# OF NVENC /CHIP,Total # of NVENC,Max # of concurrent sessions,H.264 (AVCHD) YUV 4:2:0,H.264 (AVCHD) YUV 4:2:2,H.264 (AVCHD) YUV 4:4:4,H.264 (AVCHD) Lossless,H.265 (HEVC) 4K YUV 4:2:0,H.265 (HEVC) YUV 4:2:2,H.265 (HEVC) 4K YUV 4:4:4,H.265 (HEVC) 4K Lossless,H.265 (HEVC) 8K,HEVC 10-bit support,HEVC B Frame support,AV1 YUV 4:2:0
Tesla M10,Maxwell (1st Gen),1st Gen,4,1,4,Unrestricted,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO
Tesla M4,Maxwell (GM206),5th Gen,1,1,1,Unrestricted,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
Tesla M40,Maxwell (2nd Gen),5th Gen,1,2,2,Unrestricted,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
Tesla M6,Maxwell (2nd Gen),5th Gen,1,2,2,Unrestricted,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
Tesla M60,Maxwell (2nd Gen),5th Gen,2,2,4,Unrestricted,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
Tesla P4,Pascal,6th Gen,1,2,2,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO
Tesla P6,Pascal,6th Gen,1,2,2,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO
Tesla P40,Pascal,6th Gen,1,2,2,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO
Tesla P100,Pascal,6th Gen,1,3,3,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,NO,YES,NO,NO
Tesla V100,Volta,6th Gen,1,3,3,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO
Tesla T4,Turing,7th Gen,1,1,1,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
NVIDIA A100,Ampere,7th Gen,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NO
NVIDIA A40,Ampere,7th Gen,1,1,1,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
NVIDIA A30,Ampere,7th Gen,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NO
NVIDIA A16,Ampere,7th Gen,4,1,4,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
NVIDIA A10,Ampere,7th Gen,1,1,1,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
NVIDIA A2,Ampere,7th Gen,1,1,1,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO
NVIDIA L40,Ada Lovelace,8th Gen,1,3,3,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES
NVIDIA L40S,Ada Lovelace,8th Gen,1,3,3,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES
NVIDIA L4,Ada Lovelace,8th Gen,1,2,2,Unrestricted,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES
NVIDIA H100 SXM,Hopper,N/A,1,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NVIDIA H100 PCIe,Hopper,N/A,1,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NVIDIA H100 NVL,Hopper,N/A,1,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NVIDIA RTX PRO 6000 Blackwell Server Edition,Blackwell,9th Gen,1,4,4,Unrestricted,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
